n,m,k,insert_calls,deletemin_calls,update_calls,heapify_up_calls,heapify_down_calls,insert_heapify_up,deletemin_heapify_up,deletemin_heapify_down,update_heapify_up,update_heapify_down,r_insert,r_deletemin,r_update,i_ratio,d_ratio,u_ratio,log_k_n
8192,16384,2,6568,6568,471,10735,60456,9790,0,60456,945,0,753.0769230769231,4650.461538461538,72.6923076923077,0.8017578125,0.8017578125,0.02874755859375,13.0
8192,16384,2,1,1,0,1,1,1,0,1,0,0,0.07692307692307693,0.07692307692307693,0.0,0.0001220703125,0.0001220703125,0.0,13.0
8192,16384,2,6568,6568,462,10718,60566,9760,0,60566,958,0,750.7692307692307,4658.923076923077,73.6923076923077,0.8017578125,0.8017578125,0.0281982421875,13.0
8192,16384,2,6568,6568,442,10754,60431,9880,0,60431,874,0,760.0,4648.538461538462,67.23076923076923,0.8017578125,0.8017578125,0.0269775390625,13.0
8192,16384,2,6568,6568,453,10616,60317,9718,0,60317,898,0,747.5384615384615,4639.7692307692305,69.07692307692308,0.8017578125,0.8017578125,0.02764892578125,13.0
8192,32768,2,8030,8030,2526,18040,84546,13271,0,84546,4769,0,1020.8461538461538,6503.538461538462,366.84615384615387,0.980224609375,0.980224609375,0.07708740234375,13.0
8192,32768,2,8030,8030,2478,18129,84611,13517,0,84611,4612,0,1039.7692307692307,6508.538461538462,354.7692307692308,0.980224609375,0.980224609375,0.07562255859375,13.0
8192,32768,2,8030,8030,2572,18198,84581,13225,0,84581,4973,0,1017.3076923076923,6506.2307692307695,382.53846153846155,0.980224609375,0.980224609375,0.0784912109375,13.0
8192,32768,2,8030,8030,2549,18271,84698,13288,0,84698,4983,0,1022.1538461538462,6515.2307692307695,383.3076923076923,0.980224609375,0.980224609375,0.077789306640625,13.0
8192,32768,2,8030,8030,2563,18229,84512,13316,0,84512,4913,0,1024.3076923076924,6500.923076923077,377.9230769230769,0.980224609375,0.980224609375,0.078216552734375,13.0
8192,32768,2,8030,8030,2573,18315,84407,13354,0,84407,4961,0,1027.2307692307693,6492.846153846154,381.61538461538464,0.980224609375,0.980224609375,0.078521728515625,13.0
8192,32768,2,8030,8030,2461,18046,84346,13332,0,84346,4714,0,1025.5384615384614,6488.153846153846,362.61538461538464,0.980224609375,0.980224609375,0.075103759765625,13.0
8192,32768,2,8030,8030,2445,17971,84379,13219,0,84379,4752,0,1016.8461538461538,6490.692307692308,365.53846153846155,0.980224609375,0.980224609375,0.074615478515625,13.0
8192,32768,2,8030,8030,2555,18212,84479,13328,0,84479,4884,0,1025.2307692307693,6498.384615384615,375.6923076923077,0.980224609375,0.980224609375,0.077972412109375,13.0
8192,32768,2,8030,8030,2564,18190,84384,13267,0,84384,4923,0,1020.5384615384615,6491.076923076923,378.6923076923077,0.980224609375,0.980224609375,0.0782470703125,13.0
